随手记导出文件(headers:v5; iPhone; MyMoneyPro; 12.82.0; 20210422)
交易类型,日期,类别,子类别,项目,账户,账户币种,金额,成员,商家,备注,关联Id
支出,2021-02-13 11:35:49,食品酒水,饮料酒水,,港币,HKD,33.00,,,奶茶,
支出,2021-02-12 20:35:29,食品酒水,晚餐,,港币,HKD,234.00,,,,
支出,2021-02-12 19:35:40,食品酒水,晚餐,,港币,HKD,50.00,,,,
支出,2021-02-12 15:36:10,食品酒水,买菜,,港币,HKD,113.60,,,,
支出,2021-02-11 21:13:31,人情费用,孝敬长辈,,港币,HKD,13332.00,,,,
支出,2021-02-11 21:13:26,食品酒水,饮料酒水,,港币,HKD,8.80,,,,
支出,2021-02-11 21:13:21,食品酒水,早餐,,港币,HKD,5.00,,,,
支出,2021-02-11 21:13:09,食品酒水,中餐,,港币,HKD,15.00,,,,
支出,2021-02-10 20:20:05,购物消费,超市购物,,港币,HKD,30.00,,,卡套,
支出,2021-02-10 20:18:53,人情费用,送礼表示,,港币,HKD,24.00,,,,
支出,2021-02-10 20:18:46,食品酒水,晚餐,,港币,HKD,116.00,,,,
支出,2021-02-10 15:06:58,食品酒水,饮料酒水,,港币,HKD,14.00,,,,
支出,2021-02-10 15:06:53,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2021-02-10 09:22:49,食品酒水,早餐,,港币,HKD,5.00,,,一杯茶,
收入,2021-02-09 15:40:07,其他收入,意外来钱,,港币,HKD,46.00,,,加油返钱,
支出,2021-02-09 07:58:15,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2021-02-09 07:58:02,购物消费,超市购物,,港币,HKD,341.00,,,,
支出,2021-02-09 07:38:22,食品酒水,早餐,,人民币,CNY,22.57,,,,
支出,2021-02-08 14:23:50,食品酒水,饮料酒水,,港币,HKD,14.00,,,,
支出,2021-02-08 14:23:44,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2021-02-08 14:23:40,食品酒水,早餐,,港币,HKD,10.00,默认,,,
支出,2021-02-08 13:12:55,居家生活,电费,,港币,HKD,1008.00,,,,
收入,2021-02-08 00:08:15,其他收入,carpooll,,港币,HKD,100.00,,,,
支出,2021-02-07 12:35:32,食品酒水,中餐,,港币,HKD,98.00,,,,
支出,2021-02-06 19:15:19,食品酒水,中餐,,港币,HKD,130.00,,,,
支出,2021-02-06 19:15:09,行车交通,公共交通,,港币,HKD,11.00,,,,
支出,2021-02-06 19:15:00,行车交通,公共交通,,港币,HKD,15.00,,,,
支出,2021-02-06 19:14:50,行车交通,公共交通,,港币,HKD,19.80,,,,
支出,2021-02-06 17:53:07,居家生活,理发理发,,港币,HKD,500.00,,,,
支出,2021-02-06 16:14:10,交流通讯,手机话费,,港币,HKD,164.00,,,,
支出,2021-02-06 14:41:04,行车交通,公共交通,,港币,HKD,19.80,,,,
